id,observed_on,time_observed_at,url,image_url,description,num_identification_agreements,latitude,longitude,private_latitude,private_longitude,place_town_name,place_county_name,place_state_name,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name
37178724,2020-01-01,2020-01-02 00:44:00 UTC,https://www.inaturalist.org/observations/37178724,https://inaturalist-open-data.s3.amazonaws.com/photos/58895515/medium.jpeg,AOR- 58 degrees,4,27.586574257,-97.4503388511,,,,Nueces,Texas,United States,Couch's Spadefoot,Scaphiopus couchii,Couch's Spadefoot,Amphibia,26691,Scaphiopodidae,Scaphiopus,Scaphiopus couchii
37265092,2020-01-04,2020-01-04 13:41:09 UTC,https://www.inaturalist.org/observations/37265092,https://inaturalist-open-data.s3.amazonaws.com/photos/59108150/medium.jpg,,2,30.8506081626,-85.2796661016,,,,Jackson,Florida,United States,Eastern Spadefoot,Scaphiopus holbrookii,Eastern Spadefoot,Amphibia,26695,Scaphiopodidae,Scaphiopus,Scaphiopus holbrookii
37288599,2020-01-03,2020-01-04 01:23:33 UTC,https://www.inaturalist.org/observations/37288599,https://inaturalist-open-data.s3.amazonaws.com/photos/59086303/medium.jpg,,4,30.5973811448,-83.8814700209,,,,"Jefferson County, FL, US",Florida,United States,Eastern Spadefoot,Scaphiopus holbrookii,Eastern Spadefoot,Amphibia,26695,Scaphiopodidae,Scaphiopus,Scaphiopus holbrookii
37458465,2020-01-02,2020-01-02 15:12:00 UTC,https://www.inaturalist.org/observations/37458465,https://inaturalist-open-data.s3.amazonaws.com/photos/59386161/medium.jpeg,,2,23.4363627,-109.4296296,,,,La Paz old,Baja California Sur,Mexico,sapo cavador,Scaphiopus couchii,Couch's Spadefoot,Amphibia,26691,Scaphiopodidae,Scaphiopus,Scaphiopus couchii
37585585,2020-01-12,2020-01-12 06:39:09 UTC,https://www.inaturalist.org/observations/37585585,https://inaturalist-open-data.s3.amazonaws.com/photos/59612102/medium.jpg,,1,33.4170411344,-81.8765143849,,,,Aiken,South Carolina,United States,Eastern Spadefoot,Scaphiopus holbrookii,Eastern Spadefoot,Amphibia,26695,Scaphiopodidae,Scaphiopus,Scaphiopus holbrookii
37660836,2020-01-14,2020-01-15 02:37:23 UTC,https://www.inaturalist.org/observations/37660836,https://inaturalist-open-data.s3.amazonaws.com/photos/59753994/medium.jpg,Yes! I knew they were there and I notice this was one different looking than the California toads. So cute!!! It tried to make itself look big and bulky by puffing up.,2,33.0871246733,-116.8783623381,,,,San Diego,California,United States,Western Spadefoot,Spea hammondii,Western Spadefoot,Amphibia,26702,Scaphiopodidae,Spea,Spea hammondii
37884868,2020-01-22,2020-01-23 04:10:12 UTC,https://www.inaturalist.org/observations/37884868,https://static.inaturalist.org/photos/60126049/medium.jpg,,3,29.01921667,-96.95043,,,,Victoria,Texas,United States,Hurter's Spadefoot,Scaphiopus hurterii,Hurter's Spadefoot,Amphibia,26693,Scaphiopodidae,Scaphiopus,Scaphiopus hurterii
37885098,2020-01-22,2020-01-23 04:43:17 UTC,https://www.inaturalist.org/observations/37885098,https://static.inaturalist.org/photos/60126098/medium.jpg,,4,29.02300833,-96.88831333,,,,Victoria,Texas,United States,Hurter's Spadefoot,Scaphiopus hurterii,Hurter's Spadefoot,Amphibia,26693,Scaphiopodidae,Scaphiopus,Scaphiopus hurterii
37913501,2020-01-23,2020-01-23 21:17:37 UTC,https://www.inaturalist.org/observations/37913501,https://inaturalist-open-data.s3.amazonaws.com/photos/60177437/medium.jpg,,1,32.5316378092,-85.6350448477,,,,Macon,Alabama,United States,Eastern Spadefoot,Scaphiopus holbrookii,Eastern Spadefoot,Amphibia,26695,Scaphiopodidae,Scaphiopus,Scaphiopus holbrookii
37996148,2020-01-25,2020-01-25 21:28:00 UTC,https://www.inaturalist.org/observations/37996148,https://static.inaturalist.org/photos/60321670/medium.jpeg,"",2,32.9850931565,-117.1133396231,,,,San Diego,California,United States,Western Spadefoot,Spea hammondii,Western Spadefoot,Amphibia,26702,Scaphiopodidae,Spea,Spea hammondii
38125978,2020-01-30,2020-01-30 19:29:48 UTC,https://www.inaturalist.org/observations/38125978,https://static.inaturalist.org/photos/60550580/medium.jpg,,4,36.1372100518,-119.554299408,,,,Kings,California,United States,Western Spadefoot,Spea hammondii,Western Spadefoot,Amphibia,26702,Scaphiopodidae,Spea,Spea hammondii
38242124,2020-02-01,2020-02-01 06:51:16 UTC,https://www.inaturalist.org/observations/38242124,https://static.inaturalist.org/photos/60752602/medium.jpg,,2,32.8111133587,-117.3361673673,,,,San Diego,California,United States,Western Spadefoot,Spea hammondii,Western Spadefoot,Amphibia,26702,Scaphiopodidae,Spea,Spea hammondii
38378484,2020-02-06,2020-02-07 02:12:01 UTC,https://www.inaturalist.org/observations/38378484,https://inaturalist-open-data.s3.amazonaws.com/photos/60987390/medium.jpeg,,6,30.3931939175,-82.9443714023,,,,Suwannee,Florida,United States,Eastern Spadefoot,Scaphiopus holbrookii,Eastern Spadefoot,Amphibia,26695,Scaphiopodidae,Scaphiopus,Scaphiopus holbrookii
38385009,2020-02-06,2020-02-07 00:51:21 UTC,https://www.inaturalist.org/observations/38385009,https://inaturalist-open-data.s3.amazonaws.com/photos/60998643/medium.jpg,,2,37.67623667,-77.29277833,,,,Hanover,Virginia,United States,Eastern Spadefoot,Scaphiopus holbrookii,Eastern Spadefoot,Amphibia,26695,Scaphiopodidae,Scaphiopus,Scaphiopus holbrookii
38468186,2020-02-07,2020-02-07 19:51:28 UTC,https://www.inaturalist.org/observations/38468186,https://inaturalist-open-data.s3.amazonaws.com/photos/61141266/medium.jpg,4cm long,1,32.6869872457,-117.1918298774,,,,San Diego,California,United States,Western Spadefoot,Spea hammondii,Western Spadefoot,Amphibia,26702,Scaphiopodidae,Spea,Spea hammondii
38505424,2020-02-10,2020-02-10 14:14:01 UTC,https://www.inaturalist.org/observations/38505424,https://inaturalist-open-data.s3.amazonaws.com/photos/61206736/medium.jpeg,,3,30.4661073498,-84.0857649967,,,,Leon,Florida,United States,Eastern Spadefoot,Scaphiopus holbrookii,Eastern Spadefoot,Amphibia,26695,Scaphiopodidae,Scaphiopus,Scaphiopus holbrookii
38527007,2020-02-10,2020-02-11 03:18:53 UTC,https://www.inaturalist.org/observations/38527007,https://static.inaturalist.org/photos/61244484/medium.jpg,,2,29.80275833,-81.30518333,,,,Saint Johns,Florida,United States,Eastern Spadefoot,Scaphiopus holbrookii,Eastern Spadefoot,Amphibia,26695,Scaphiopodidae,Scaphiopus,Scaphiopus holbrookii
38559594,2020-02-11,2020-02-12 03:47:33 UTC,https://www.inaturalist.org/observations/38559594,https://static.inaturalist.org/photos/66464132/medium.jpg,,5,28.1756949123,-82.6622719434,,,,Pasco,Florida,United States,Eastern Spadefoot,Scaphiopus holbrookii,Eastern Spadefoot,Amphibia,26695,Scaphiopodidae,Scaphiopus,Scaphiopus holbrookii
38594334,2020-02-12,2020-02-13 03:47:02 UTC,https://www.inaturalist.org/observations/38594334,https://static.inaturalist.org/photos/61358928/medium.jpg,,1,32.9984741696,-80.2701658759,,,,Dorchester,South Carolina,United States,Eastern Spadefoot,Scaphiopus holbrookii,Eastern Spadefoot,Amphibia,26695,Scaphiopodidae,Scaphiopus,Scaphiopus holbrookii
38676729,2020-02-06,2020-02-07 01:42:00 UTC,https://www.inaturalist.org/observations/38676729,https://inaturalist-open-data.s3.amazonaws.com/photos/61505143/medium.jpeg,"Found after a storm in Burke County, GA. My first time finding one. :)",2,33.0404323475,-81.7148032039,,,,Burke,Georgia,United States,Eastern Spadefoot,Scaphiopus holbrookii,Eastern Spadefoot,Amphibia,26695,Scaphiopodidae,Scaphiopus,Scaphiopus holbrookii
